 População Residente - Brasil
População residente por Município e Faixa Etária
Período:2012
"Município";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"210190 BEQUIMAO";351;1442;1967;2141;2116;3708;2681;2091;1724;1366;816;370;20773
"210193 BERNARDO DO MEARIM";124;441;557;628;590;1054;910;667;454;378;209;99;6111
"210197 BOA VISTA DO GURUPI";179;809;1152;1158;926;1384;976;688;497;368;176;62;8375
"210200 BOM JARDIM";928;3532;4616;4919;4114;6816;4820;3585;2807;2037;1094;472;39740
"210203 BOM JESUS DAS SELVAS";745;2840;3518;3561;3201;6329;3886;2539;1858;1189;451;142;30259
"210207 BOM LUGAR";336;1253;1631;1747;1408;2963;2303;1375;1064;689;360;185;15314
"210210 BREJO";775;3127;3898;3722;3300;6366;4281;3015;2504;1702;1021;531;34242
"210215 BREJO DE AREIA";85;411;642;690;583;844;593;441;335;194;92;52;4962
"210220 BURITI";687;2630;3411;3555;2883;4641;3107;2242;1926;1241;755;371;27449
"210230 BURITI BRAVO";436;1912;2614;2679;2607;3559;2767;2211;1846;1378;755;355;23119
"210232 BURITICUPU";1545;6488;8656;8619;7330;12586;8508;5528;3964;2595;1180;379;67378
"210235 BURITIRANA";311;1259;1725;1831;1561;2465;1871;1313;1125;816;452;201;14930
"210237 CACHOEIRA GRANDE";200;821;1119;1182;1067;1429;924;702;528;360;173;102;8607
"210240 CAJAPIO";253;926;1129;1188;1121;2098;1343;968;680;541;361;132;10740
"210250 CAJARI";358;1652;2292;2246;2044;3434;2266;1533;1293;800;458;227;18603
"210255 CAMPESTRE DO MARANHAO";233;1102;1531;1510;1508;2627;1904;1302;875;613;306;138;13649
"210260 CANDIDO MENDES";426;1640;2101;2241;2178;3689;2400;1787;1168;889;482;221;19222
"210270 CANTANHEDE";380;1641;2408;2637;2300;3763;2730;2033;1337;817;511;322;20879
"210275 CAPINZAL DO NORTE";220;816;1029;1128;1131;1875;1354;1051;876;653;386;203;10722
"210280 CAROLINA";441;1745;2435;2723;2393;3960;3085;2508;1910;1408;880;467;23955
"210290 CARUTAPERA";530;1923;2507;2840;2554;4337;2845;1963;1307;889;560;262;22517
"210300 CAXIAS";2827;11949;15970;16384;15868;28839;21126;16255;12242;8566;5213;2820;158059
"210310 CEDRAL";155;729;1043;1064;1029;1886;1505;1103;797;519;386;158;10374
"210312 CENTRAL DO MARANHAO";160;728;1002;983;910;1287;998;718;558;413;249;114;8120
"210315 CENTRO DO GUILHERME";239;1070;1454;1446;1405;2435;1458;1090;699;426;201;56;11979
"210317 CENTRO NOVO DO MARANHAO";469;1984;2650;2570;2003;3924;2642;1638;1042;685;277;63;19947
"210320 CHAPADINHA";1717;6451;8194;8718;7910;13789;9475;6913;5323;3643;2086;948;75167
"210325 CIDELANDIA";283;1179;1575;1590;1355;2554;1763;1318;1081;716;391;158;13963
"210330 CODO";2623;9765;12356;13255;12161;21062;14618;11412;9081;6777;4111;1858;119079
"210340 COELHO NETO";1059;4146;5225;5343;5093;8372;5697;4670;3636;2323;1249;622;47435
"210350 COLINAS";836;3119;4119;4735;4738;7062;4987;3816;2803;1855;1086;479;39635
"210355 CONCEICAO DO LAGO-ACU";383;1534;1978;1936;1514;2611;1857;1187;990;564;328;107;14989
"210360 COROATA";1241;5065;6860;7155;6111;11112;8051;6168;4651;3368;1912;945;62639
"210370 CURURUPU";458;2261;3476;3659;3183;5520;4310;3383;2638;1834;1238;527;32487
"210375 DAVINOPOLIS";239;995;1425;1542;1277;2343;1556;1141;869;643;408;187;12625
"210380 DOM PEDRO";436;1654;2184;2440;2330;4021;3237;2448;1675;1234;773;359;22791
"210390 DUQUE BACELAR";214;991;1366;1333;1245;1826;1281;964;697;504;293;122;10836
"210400 ESPERANTINOPOLIS";361;1381;1775;1933;1938;3160;2214;1758;1380;970;562;283;17715
"210405 ESTREITO";858;2970;3478;3797;3810;8122;5716;3841;2545;1539;784;324;37784
"210407 FEIRA NOVA DO MARANHAO";150;630;972;1128;919;1236;1038;796;615;420;223;88;8215
"210408 FERNANDO FALCAO";241;962;1225;1230;1128;1632;1174;798;528;372;197;97;9584
"210409 FORMOSA DA SERRA NEGRA";320;1360;1996;2280;2225;3329;2306;1610;1073;733;374;143;17749
"210410 FORTALEZA DOS NOGUEIRAS";223;913;1296;1476;1439;2311;1619;1163;842;584;310;130;12306
"210420 FORTUNA";315;1275;1674;1741;1650;2279;1874;1512;1205;907;470;272;15174
"210430 GODOFREDO VIANA";236;826;1075;1265;1170;2138;1499;1139;670;459;198;87;10762
"210440 GONCALVES DIAS";328;1352;1824;1920;1809;2909;2256;1800;1420;1000;642;285;17545
"210450 GOVERNADOR ARCHER";213;821;1040;1095;1067;1898;1273;1003;835;618;339;170;10372
"210455 GOVERNADOR EDISON LOBAO";332;1334;1789;1885;1659;3130;2343;1638;1131;804;438;168;16651
"210460 GOVERNADOR EUGENIO BARROS";357;1344;1755;1910;1662;2727;1989;1494;1260;904;506;289;16197
"210462 GOVERNADOR LUIZ ROCHA";132;563;831;915;776;1285;970;708;573;366;240;103;7462
"210465 GOVERNADOR NEWTON BELLO";214;939;1258;1231;1124;1845;1249;881;628;458;231;108;10166
"210467 GOVERNADOR NUNES FREIRE";580;2355;3180;3305;2782;4752;2958;2151;1570;990;497;203;25323
"210470 GRACA ARANHA";118;424;560;653;601;1088;825;637;507;417;215;105;6150
"210480 GRAJAU";1524;5873;7380;7680;7448;12115;8129;5739;3753;2676;1535;658;64510
"210490 GUIMARAES";183;823;1162;1232;1241;2122;1541;1204;962;739;535;253;11997
"210500 HUMBERTO DE CAMPOS";623;2764;3723;3553;2982;4413;3034;2165;1546;1125;663;342;26933
"210510 ICATU";578;2214;3074;3465;2882;4359;3071;2158;1626;1157;688;426;25698
"210515 IGARAPE DO MEIO";313;1234;1525;1509;1464;2473;1484;1125;837;598;337;153;13052
"210520 IGARAPE GRANDE";209;802;1052;1156;1093;2070;1521;1216;912;681;381;196;11289
"210530 IMPERATRIZ";4315;16439;21892;24881;24767;50777;39051;28377;18977;11335;6425;2827;250063
"210535 ITAIPAVA DO GRAJAU";331;1247;1588;1696;1557;2387;1505;1091;756;571;270;104;13103
